Name,tc_loss_2000,tc_loss_2001,tc_loss_2002,tc_loss_2003,tc_loss_2004,tc_loss_2005,tc_loss_2006,tc_loss_2007,tc_loss_2008,tc_loss_2009,tc_loss_2010,tc_loss_2011,tc_loss_2012,tc_loss_2013,tc_loss_2014,tc_loss_2015
Lake Piso,9661.51,9661.51,9661.51,9661.51,9661.51,9661.51,9661.51,9661.51,9661.51,9661.51,9661.51,9661.51,9661.51,9661.51,9661.51,9661.51
East Nimba,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Sapo,187.92,187.92,187.92,187.92,187.92,187.92,187.92,187.92,187.92,187.92,187.92,187.92,187.92,187.92,187.92,187.92
Nimba West,1078.54,1078.54,1078.54,1078.54,1078.54,1078.54,1078.54,1078.54,1078.54,1078.54,1078.54,1078.54,1078.54,1078.54,1078.54,1078.54
Grand Kru-River Gee,3480.73,3480.73,3480.73,3480.73,3480.73,3480.73,3480.73,3480.73,3480.73,3480.73,3480.73,3480.73,3480.73,3480.73,3480.73,3480.73
Senkwehn,836.11,836.11,836.11,836.11,836.11,836.11,836.11,836.11,836.11,836.11,836.11,836.11,836.11,836.11,836.11,836.11
Bong Mountain,3748.56,3748.56,3748.56,3748.56,3748.56,3748.56,3748.56,3748.56,3748.56,3748.56,3748.56,3748.56,3748.56,3748.56,3748.56,3748.56
Foya,2967.45,2967.45,2967.45,2967.45,2967.45,2967.45,2967.45,2967.45,2967.45,2967.45,2967.45,2967.45,2967.45,2967.45,2967.45,2967.45
Gbi/ Krahn-Bassa,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96
Wonegisi,2238.34,2238.34,2238.34,2238.34,2238.34,2238.34,2238.34,2238.34,2238.34,2238.34,2238.34,2238.34,2238.34,2238.34,2238.34,2238.34
Gola,500.66,500.66,500.66,500.66,500.66,500.66,500.66,500.66,500.66,500.66,500.66,500.66,500.66,500.66,500.66,500.66
Wologizi,3807.77,3807.77,3807.77,3807.77,3807.77,3807.77,3807.77,3807.77,3807.77,3807.77,3807.77,3807.77,3807.77,3807.77,3807.77,3807.77
Kpo Mountains,2040.81,2040.81,2040.81,2040.81,2040.81,2040.81,2040.81,2040.81,2040.81,2040.81,2040.81,2040.81,2040.81,2040.81,2040.81,2040.81
Zwedru,1453.04,1453.04,1453.04,1453.04,1453.04,1453.04,1453.04,1453.04,1453.04,1453.04,1453.04,1453.04,1453.04,1453.04,1453.04,1453.04
Grebo,538.21,538.21,538.21,538.21,538.21,538.21,538.21,538.21,538.21,538.21,538.21,538.21,538.21,538.21,538.21,538.21
Margibi Mangrove,697.63,697.63,697.63,697.63,697.63,697.63,697.63,697.63,697.63,697.63,697.63,697.63,697.63,697.63,697.63,697.63