Name,tc_loss_2000,tc_loss_2001,tc_loss_2002,tc_loss_2003,tc_loss_2004,tc_loss_2005,tc_loss_2006,tc_loss_2007,tc_loss_2008,tc_loss_2009,tc_loss_2010,tc_loss_2011,tc_loss_2012,tc_loss_2013,tc_loss_2014,tc_loss_2015,tc_loss_2000-2015,tc_gain,tc_extent,terrai_2004,terrai_2005,terrai_2006,terrai_2007,terrai_2008,terrai_2009,terrai_2010,terrai_2011,terrai_2012,terrai_2013,terrai_2014,terrai_2015,terrai_2016,terrai_2004-2016,co2_2001,co2_2002,co2_2003,co2_2004,co2_2005,co2_2006,co2_2007,co2_2008,co2_2009,co2_2010,co2_2011,co2_2012,co2_2013,co2_2014,geostore
"""D""",357923.69,204.47,96.39,22.26,71.84,73.95,441.26,375.25,330.33,1090.84,269.59,240.86,520.9,1006.88,994.57,1927.88,365590.97,700.22,367223.11,,,,,,,,,,,,,,,92708.80137,50366.70085,12210.15574,37428.09705,37503.39944,205148.5873,179093.7453,161800.0453,541663.2741,131494.5794,125142.5868,249040.005,477146.1151,461723.0226,2598d220e4a4eccd92e884fc513695fc
"""H""",162477.86,176.35,712.62,191.75,20.91,106.16,44.4,175.66,81.42,272.83,44.67,178.06,195.67,435.02,331.37,274.42,165719.18,881.6,166046.45,,,,,,,,,,,,,,,63216.24811,271768.2408,76376.52229,7824.949673,43212.43685,17261.86515,66223.38673,28229.32465,99370.84018,17131.32857,66251.58152,73883.4319,166740.2677,80763.89959,125bd049b60b4c3df4bea579d5f2d363
"""F""",252401.65,101.9,157.71,79.12,22.61,10.06,129.87,100.84,77.17,178.9,139.01,35.69,48.59,30.08,232,186,253931.2,216.18,254106.87,,,,,,,,,,,,,,,38123.82766,58592.43014,28553.28628,7515.787442,3354.168993,47668.86906,39684.86024,30585.83658,68506.1387,48712.39337,14097.30739,17698.32429,11553.13375,75029.58271,cdb38b8b69b2c6c45e9748ccde7fe960
"""A""",110270.9,140.12,152.6,33.43,25.63,68.2,266.48,368.26,307.06,821.71,171.62,251.4,447.93,1387.98,1354.42,1975.35,118043.1,343.01,119016.52,,,,,,,,,,,,,,,75297.79824,66274.96658,14441.09476,12584.93211,29876.70206,125465.7131,168203.6154,152062.1281,397354.3161,82752.73741,122488.4995,208779.0108,644125.5074,546273.6142,8c1e0c55eb4d4beaa3febe96fc9124a0
"""B""",54222.64,53.91,254.54,25.8,6.49,37.9,18.59,143.23,57.21,266.63,29.09,144.83,210.85,273.84,333.18,241.37,56320.11,320.46,56694.3,,,,,,,,,,,,,,,18879.84756,86891.10696,8833.417324,3108.73353,14661.34951,6803.064464,49061.03935,19760.92903,86620.58729,10302.48174,48796.77378,77265.57019,98459.08036,65329.83868,09a099386bab3dde43cbcecb11bfb910
"""J""",78805.76,153.75,402.11,65.32,28.44,50.83,121.75,264.11,112.68,271.49,54.2,197.11,417.32,346.41,348.87,584.45,82224.59,376.53,82581.3,,,,,,,,,,,,,,,71232.61425,192710.0401,31493.18987,13047.53206,26643.3716,59242.35213,127847.7522,51491.45552,131968.1703,26433.74379,97687.21792,196093.1744,158244.709,91797.18211,67e004afd2f4bbcb505c0cfd70b7060c
"""M""",250411.76,433.61,183.92,179.52,123.69,67.24,498.81,598.68,424.81,957.94,556.85,356.11,983.5,2072.17,2155.16,3148.89,263152.67,894.75,265246.37,,,,,,,,,,,,,,,224314.9595,95178.71091,97193.08818,67159.45218,30180.98002,252520.9348,315036.8955,220130.9265,503990.644,308164.1357,177499.7027,484324.228,1006260.467,956782.5312,aec87e949405b359a0413320a7d437b3
"""I""",129566.44,246.35,246.79,147.6,9.43,9.34,68.32,40.12,37.19,152.75,96.52,37.19,58.09,81.76,218.94,266.73,131283.57,334.69,131435.52,,,,,,,,,,,,,,,90801.91844,90362.4222,56843.69444,2946.760424,3864.230729,25529.90512,15711.78967,13503.44097,52596.37573,32136.35437,12323.46233,21398.48901,25011.74873,54803.4488,5c743471ca70ad412f0135e5710cd10f
"""K""",260291.71,157.53,605.85,229.31,31.11,98.77,186.16,453.48,139.56,543.27,35.74,257.46,499.5,853.34,583.62,675.63,265642.04,724.1,266460.11,,,,,,,,,,,,,,,66755.21302,270919.3291,108192.9714,14198.29855,46024.43562,79673.83787,196712.5862,64061.99264,250053.9214,17491.09278,111629.5549,214113.39,396282.5066,142167.5711,fe7e5624b4b38f90a7310d2b1e5fceab
"""P""",116448.28,100.2,151.69,174.76,28.51,13.72,137.25,144.82,136.81,93.79,144.38,29.21,180.19,173.23,562.26,401.16,118920.23,588.67,119268.66,,,,,,,,,,,,,,,44140.61955,67991.3819,83110.52002,12415.27861,6525.10896,66861.08641,69059.2746,63484.52103,41469.22365,66852.64011,12018.62743,77008.01956,76086.53823,202258.4873,43c9334cea2c4e430ef2ea20ff77308b
"""C""",57144.44,43.31,171.74,37.54,5.25,24.73,35.57,94.63,53.54,167.11,26.95,156.45,184.29,155.65,197.99,190.69,58689.89,200.12,58918.47,,,,,,,,,,,,,,,14876.19129,68842.24922,14222.71113,3095.803344,11684.22736,13097.57648,35975.08567,22495.66719,63801.8107,10607.35306,55176.8808,64261.71981,60717.34759,34137.01854,4a91a75a998f4d64b78759d6550781df
"""E""",39174.74,24.07,131.36,41.39,10.66,7.28,28.6,43.16,72.47,75.58,6.75,37.21,178.69,491.02,489.63,315.1,41127.71,51.86,41536.33,,,,,,,,,,,,,,,14296.16106,61865.40197,16093.06545,5875.791732,3789.013575,13089.6199,18669.05214,31310.6821,33948.73117,3447.423539,17597.29256,90946.99056,228649.7881,135954.4314,132179b78a1bcfc71bb429a82c9702f4