Name,status,company,area_acres,tc_loss_2001,tc_loss_2002,tc_loss_2003,tc_loss_2004,tc_loss_2005,tc_loss_2006,tc_loss_2007,tc_loss_2008,tc_loss_2009,tc_loss_2010,tc_loss_2011,tc_loss_2012,tc_loss_2013,tc_loss_2014,tc_loss_2015,tc_loss_2000_2015,tc_gain,tc_extent,co2_2001,co2_2002,co2_2003,co2_2004,co2_2005,co2_2006,co2_2007,co2_2008,co2_2009,co2_2010,co2_2011,co2_2012,co2_2013,co2_2014,geostore
"""D""",Proposed,,"916,426.88",505.26,238.18,55.01,177.52,182.73,"1,090.38",927.26,816.26,"2,695.52",666.17,595.18,"1,287.17","2,488.05","2,457.63","4,763.89","18,946.21","1,730.28","907,426.67","92,708.80","50,366.70","12,210.16","37,428.10","37,503.40","205,148.59","179,093.75","161,800.05","541,663.27","131,494.58","125,142.59","249,040.00","477,146.12","461,723.02",2598d220e4a4eccd92e884fc513695fc
"""H""",Proposed,,"414,285.99",435.77,"1,760.92",473.82,51.67,262.33,109.71,434.06,201.19,674.18,110.38,440.00,483.51,"1,074.96",818.83,678.11,"8,009.46","2,178.48","410,309.08","63,216.25","271,768.24","76,376.52","7,824.95","43,212.44","17,261.87","66,223.39","28,229.32","99,370.84","17,131.33","66,251.58","73,883.43","166,740.27","80,763.90",125bd049b60b4c3df4bea579d5f2d363
"""F""",Active,Euro Liberia Logging,"633,470.85",251.80,389.71,195.51,55.87,24.86,320.92,249.18,190.69,442.07,343.50,88.19,120.07,74.33,573.28,459.62,"3,779.59",534.19,"627,910.78","38,123.83","58,592.43","28,553.29","7,515.79","3,354.17","47,668.87","39,684.86","30,585.84","68,506.14","48,712.39","14,097.31","17,698.32","11,553.13","75,029.58",cdb38b8b69b2c6c45e9748ccde7fe960
"""A""",Active,Alpha Loging and Wood Processing INc.,"296,756.41",346.24,377.08,82.61,63.33,168.53,658.49,909.99,758.76,"2,030.49",424.08,621.22,"1,106.86","3,429.77","3,346.84","4,881.19","19,205.52",847.59,"294,095.77","75,297.80","66,274.97","14,441.09","12,584.93","29,876.70","125,465.71","168,203.62","152,062.13","397,354.32","82,752.74","122,488.50","208,779.01","644,125.51","546,273.61",8c1e0c55eb4d4beaa3febe96fc9124a0
"""B""",Active,Mandra Liberia/ EJ&J,"142,535.99",133.21,628.98,63.75,16.04,93.65,45.94,353.93,141.37,658.86,71.88,357.88,521.02,676.67,823.30,596.44,"5,182.95",791.87,"140,094.45","18,879.85","86,891.11","8,833.42","3,108.73","14,661.35","6,803.06","49,061.04","19,760.93","86,620.59","10,302.48","48,796.77","77,265.57","98,459.08","65,329.84",09a099386bab3dde43cbcecb11bfb910
"""J""",Proposed,,"205,589.26",379.92,993.63,161.41,70.28,125.60,300.85,652.63,278.44,670.87,133.93,487.07,"1,031.22",856.00,862.08,"1,444.21","8,448.10",930.42,"204,062.52","71,232.61","192,710.04","31,493.19","13,047.53","26,643.37","59,242.35","127,847.75","51,491.46","131,968.17","26,433.74","97,687.22","196,093.17","158,244.71","91,797.18",67e004afd2f4bbcb505c0cfd70b7060c
"""M""",Proposed,,"665,059.77","1,071.47",454.48,443.60,305.64,166.15,"1,232.58","1,479.37","1,049.73","2,367.12","1,376.00",879.97,"2,430.28","5,120.44","5,325.51","7,781.06","31,483.43","2,210.97","655,437.04","224,314.96","95,178.71","97,193.09","67,159.45","30,180.98","252,520.93","315,036.90","220,130.93","503,990.64","308,164.14","177,499.70","484,324.23","1,006,260.47","956,782.53",aec87e949405b359a0413320a7d437b3
"""I""",Active,Geblo Logging,"327,189.73",608.74,609.83,364.73,23.30,23.08,168.82,99.14,91.90,377.45,238.51,91.90,143.54,202.03,541.01,659.10,"4,243.09",827.04,"324,783.74","90,801.92","90,362.42","56,843.69","2,946.76","3,864.23","25,529.91","15,711.79","13,503.44","52,596.38","32,136.35","12,323.46","21,398.49","25,011.75","54,803.45",5c743471ca70ad412f0135e5710cd10f
"""K""",Active,Euro Liberia Logging,"664,167.20",389.26,"1,497.09",566.64,76.87,244.07,460.01,"1,120.57",344.86,"1,342.45",88.32,636.20,"1,234.29","2,108.65","1,442.15","1,669.52","13,220.91","1,789.29","658,436.25","66,755.21","270,919.33","108,192.97","14,198.30","46,024.44","79,673.84","196,712.59","64,061.99","250,053.92","17,491.09","111,629.55","214,113.39","396,282.51","142,167.57",fe7e5624b4b38f90a7310d2b1e5fceab
"""P""",Active,Atlantic Resources Limited,"297,025.10",247.60,374.83,431.84,70.45,33.90,339.15,357.86,338.06,231.76,356.77,72.18,445.26,428.06,"1,389.37",991.29,"6,108.34","1,454.63","294,718.82","44,140.62","67,991.38","83,110.52","12,415.28","6,525.11","66,861.09","69,059.27","63,484.52","41,469.22","66,852.64","12,018.63","77,008.02","76,086.54","202,258.49",43c9334cea2c4e430ef2ea20ff77308b
"""C""",Active,Mandra Liberia/ LTTC,"147,790.60",107.02,424.38,92.76,12.97,61.11,87.90,233.84,132.30,412.94,66.59,386.60,455.39,384.62,489.24,471.20,"3,818.88",494.51,"145,590.49","14,876.19","68,842.25","14,222.71","3,095.80","11,684.23","13,097.58","35,975.09","22,495.67","63,801.81","10,607.35","55,176.88","64,261.72","60,717.35","34,137.02",4a91a75a998f4d64b78759d6550781df
"""E""",Proposed,,"103,450.74",59.48,324.60,102.28,26.34,17.99,70.67,106.65,179.08,186.76,16.68,91.95,441.55,"1,213.33","1,209.90",778.63,"4,825.86",128.15,"102,638.35","14,296.16","61,865.40","16,093.07","5,875.79","3,789.01","13,089.62","18,669.05","31,310.68","33,948.73","3,447.42","17,597.29","90,946.99","228,649.79","135,954.43",132179b78a1bcfc71bb429a82c9702f4